iter	RMSE
0	0.02001247747
1	0.01993941149
2	0.01981720778
3	0.01972144506
4	0.01968193908
5	0.01962287516
6	0.01959471385
7	0.01952333523
8	0.01948718295
9	0.01942960975
10	0.01936925093
11	0.01930382705
12	0.01924874096
13	0.01914583336
14	0.01909642171
15	0.01899372046
16	0.0189217078
17	0.01886363827
18	0.01879522852
19	0.01870292513
20	0.0186720539
21	0.01862843666
22	0.01851069334
23	0.0184453386
24	0.01838970027
25	0.01832355451
26	0.0182510923
27	0.01822349962
28	0.01812336095
29	0.01807131083
30	0.01802078552
31	0.01799697767
32	0.01794612822
33	0.01785060055
34	0.01778171671
35	0.01770365085
36	0.01766270732
37	0.01758786692
38	0.01751069497
39	0.01747864174
40	0.01736569558
41	0.01730477502
42	0.01726320124
43	0.01720024446
44	0.0171574161
45	0.01708321512
46	0.01703219758
47	0.01697066345
48	0.01694076408
49	0.0168673787
50	0.01680439323
51	0.0167563077
52	0.01673048502
53	0.01665290343
54	0.01661706326
55	0.01658425605
56	0.01650619688
57	0.01646472766
58	0.01640443964
59	0.01635430228
60	0.01630563341
61	0.01626351892
62	0.01619731351
63	0.01616965921
64	0.01610612969
